dates,cpi,core_cpi,gdp,real_gdp,fedfunds,emratio,wti_oil,divisia_m3,gscpi,gov_total,gov_current,total_par,total_market,private_par,private_market
1967.01,32.97,34.23,211.04,1217.57,4.82,57,2.99,100,#N/A,63.85,40.48,329.2,317,216.75,207.84
1967.02,33.17,34.5,212.25,1218.32,3.99,57.1,3,101.37,#N/A,64.23,41.04,329.46,319.53,214.55,207.19
1967.03,33.5,34.87,216.31,1229.85,3.89,57.4,3.05,103.5,#N/A,66.05,41.51,329.25,315.83,207.53,197.86
1967.04,33.87,35.23,220.36,1239.12,4.17,57.5,3.07,105.77,#N/A,67.1,42.75,337.58,320.81,214.18,202.2
1968.01,34.2,35.67,227.35,1264.39,4.79,57.2,3.07,107.33,#N/A,69.28,44.32,345.34,327.06,220.72,207.52
1968.02,34.53,36.03,233.59,1285.51,5.98,57.7,3.07,108.6,#N/A,71.68,45.92,349.34,331.7,223.69,210.94
1968.03,35,36.53,237.71,1295.46,5.95,57.5,3.07,110.3,#N/A,73.05,46.56,350.32,334.36,220.07,208.57
1968.04,35.43,37.07,242.01,1300.55,5.92,57.6,3.07,112.3,#N/A,74.75,47.55,355.43,341.19,223.21,212.8
1969.01,35.87,37.57,248.33,1320.9,6.57,57.8,3.13,114.67,#N/A,75.14,47.02,358.1,338.55,227.5,213.39
1969.02,36.43,38.17,252.25,1324.91,8.33,57.9,3.35,115.63,#N/A,76.78,48.74,358.93,337.21,227.1,211.44
1969.03,36.93,38.7,257.49,1333.65,8.98,58.1,3.35,115.83,#N/A,78.48,49.94,356.93,331.92,218.7,201.25
1969.04,37.5,39.23,259.54,1327.14,8.94,58.1,3.35,115.6,#N/A,79.56,51.27,361.76,332.5,220.21,200
1970.01,38.1,39.83,262.8,1325.16,8.57,57.9,3.35,116.2,#N/A,81.47,52.17,367.97,335.72,222.75,200.46
1970.02,38.63,40.57,266.84,1327.04,7.89,57.6,3.35,115.37,#N/A,84.76,55.03,369.35,341.58,223.14,203.49
1970.03,39.03,41.1,271.51,1339.27,6.71,57.2,3.31,115.83,#N/A,86.6,55.84,372.86,343.59,220.73,200.22
1970.04,39.6,41.77,272.15,1324.92,5.57,56.9,3.39,118.4,#N/A,88.56,56.9,379.93,354.78,224.42,206.31
1971.01,39.93,42.17,283.79,1360.9,3.86,56.6,3.56,121.07,#N/A,89.64,58.28,387.05,372.9,228.99,217.7
1971.02,40.3,42.6,289.07,1368.26,4.57,56.5,3.56,124.97,#N/A,93.3,60.72,391.41,381.53,229.06,220.46
1971.03,40.7,42.97,294.42,1379.52,5.48,56.6,3.56,128.8,#N/A,94.28,60.65,400.09,381.49,231.45,217.87
1971.04,41,43.2,297.57,1382.76,4.75,56.7,3.56,131.77,#N/A,95.83,61.95,412.93,401.6,239.48,230.45
1972.01,41.33,43.57,307.65,1408.16,3.55,56.8,3.56,134.97,#N/A,99.86,64.71,420.54,411.36,246.15,238.43
1972.02,41.6,43.9,316.59,1440.12,4.3,57,3.56,138.83,#N/A,100.98,66.89,425.56,415.42,250.4,242.2
1972.03,41.93,44.23,322.64,1453.71,4.74,57,3.56,141.9,#N/A,101.23,65.07,429.19,419.29,246.76,238.95
1972.04,42.37,44.47,332.23,1478.06,5.15,57.2,3.56,146.17,#N/A,104.82,71.35,436.44,423.81,251,241.69
1973.01,43.03,44.8,344.37,1514.64,6.54,57.5,3.56,150.27,#N/A,106.73,70.76,447.87,434.19,260.58,250.61
1973.02,43.93,45.27,353.47,1531.13,7.82,57.8,3.56,153.27,#N/A,109.78,71.84,456.84,437.63,264.51,251.13
1973.03,44.8,45.73,358.46,1523.08,10.56,57.9,4.06,156.3,#N/A,109.41,71.73,458.16,434.38,259.42,243.5
1973.04,45.93,46.5,369.07,1537.53,10,58.2,4.31,158.13,#N/A,112.75,73.23,461.92,441.11,256.48,242.56
1974.01,47.3,47.23,372.8,1524.31,9.32,58.2,10.11,160.4,#N/A,116.41,75.52,467.37,450.78,260.59,249.42
1974.02,48.57,48.47,382.51,1527.94,11.25,58,10.11,162.83,#N/A,119.34,78.62,472.36,455.83,260.19,250.03
1974.03,49.93,50.13,390.01,1513.49,12.09,57.8,10.11,164.63,#N/A,126.75,81.11,475.03,455.43,258.49,247.53
1974.04,51.47,51.6,399.92,1507.62,9.35,57.3,11.16,166.57,#N/A,130.3,84.6,481.16,463.39,260.5,250.43
1975.01,52.57,52.7,404.03,1489.26,6.3,56.2,11.16,168.5,#N/A,137.52,88.51,490.72,482.4,270.02,264.9
1975.02,53.2,53.53,412.96,1499.9,5.42,55.9,11.16,171.43,#N/A,142.97,94.42,508.73,502.02,286.53,282.28
1975.03,54.27,54.23,427.45,1525.58,6.16,56.1,11.16,176.77,#N/A,145.88,94.78,533.2,524.97,306.23,301.16
1975.04,55.27,55.17,440.46,1546.13,5.41,56.1,11.16,180.63,#N/A,150.01,97.06,554.46,543.92,327.41,320.98
1976.01,55.9,56.2,455.12,1580.91,4.83,56.5,11.76,183.7,#N/A,152.4,98.5,575.95,571.65,351.24,348.21
1976.02,56.4,56.97,463.08,1592.51,5.2,56.9,12.17,189.1,#N/A,151.72,98.93,598.78,596.78,369.28,367.61
1976.03,57.3,57.9,471.64,1601.22,5.28,57,12.75,193.27,#N/A,154.9,101.87,618.55,614.13,379.69,376.61
1976.04,58.13,58.7,483.57,1612.79,4.87,57,13.9,197.53,#N/A,157.55,104.19,635.22,638.09,393.57,394.77
1977.01,59.2,59.67,497.16,1631.93,4.66,57.2,13.9,203.03,#N/A,161.35,105.21,650.7,659.67,411.07,415.96
1977.02,60.23,60.63,513.98,1663.62,5.16,57.8,13.9,208.97,#N/A,164.35,107.21,667.86,669.81,425.68,426.53
1977.03,61.07,61.5,529.62,1693.61,5.82,58,14.53,213.5,#N/A,167.25,110.75,673.47,675.35,424.25,425.05
1977.04,61.97,62.33,541.07,1693.65,6.51,58.5,14.85,217.9,#N/A,172.19,114.15,693.8,691.14,441.37,439.39
1978.01,63.03,63.43,550.69,1699.07,6.76,58.8,14.85,222.47,#N/A,175.6,117.08,716.17,708.28,464.09,458.84
1978.02,64.47,64.73,582.91,1764.73,7.28,59.3,14.85,226.6,#N/A,180.48,119.64,734.74,721.85,480.22,471.83
1978.03,65.97,66.13,598.76,1782.48,8.1,59.4,14.85,230.47,#N/A,187.34,123.01,747.03,727.59,479.93,467.59
1978.04,67.5,67.6,619.24,1806.44,9.58,59.8,14.85,233.17,#N/A,191.78,126.14,770.79,747.94,490.85,476.39
1979.01,69.2,69.17,631.65,1809.68,10.07,60,15.52,234.27,#N/A,194.1,127.95,787.56,757.13,511.12,491.63
1979.02,71.4,70.8,647.81,1811.61,10.18,59.8,17.68,234.13,#N/A,199.93,130.73,795.13,764.91,518.66,499.15
1979.03,73.7,72.63,666.89,1825.07,10.95,59.9,25.58,237.2,#N/A,207.41,135.82,805.73,783.7,519.47,505.14
1979.04,76.03,74.83,680.97,1829.63,13.58,60,30.83,239.7,#N/A,212.93,139.88,822.15,783.44,524,499.41
1980.01,79.03,77.6,697.46,1835.39,15.05,59.9,35.83,236.3,#N/A,223.22,145.97,842.22,795.91,538.67,509
1980.02,81.7,80.2,699.34,1797.57,12.69,59.1,39.5,234.17,#N/A,230.7,152.17,862.68,796.29,558.86,516.18
1980.03,83.23,81.4,714.12,1795.44,9.84,58.8,37.83,234.53,#N/A,239.02,159.99,879.07,859.59,564.79,551.57
1980.04,85.57,83.93,746.39,1828.92,15.85,59,36.33,244.37,#N/A,242.64,164.33,903.11,846.07,588.97,551.97
1981.01,87.93,85.9,781.05,1864.76,16.57,59.2,38,243.9,#N/A,255.65,170.06,926.01,860.1,615.82,572.34
1981.02,89.77,87.8,790.63,1850.94,17.78,59.4,37.33,242.37,#N/A,259.35,173.93,959.69,886.5,649.74,600.69
1981.03,92.27,90.77,815.15,1873.1,17.58,59,36,243,#N/A,265.89,180.53,970.97,892.71,652.23,599.92
1981.04,93.77,92.53,820.2,1852.69,13.59,58.5,35.33,241.93,#N/A,275.56,184.62,994.36,903.84,666.42,605.85
1982.01,94.6,93.67,818.58,1823.91,14.23,58.2,31.3,245.4,#N/A,280.65,188.39,1026.8,973.84,698.24,661.34
1982.02,95.97,95.4,832.99,1832.23,14.51,58,34.82,248.3,#N/A,287.54,191.89,1058.39,1001.06,729.65,689.15
1982.03,97.63,97,841.58,1825.22,11.01,57.7,34.58,250.27,#N/A,296.49,198.63,1080.33,1030.44,742.4,706.88
1982.04,97.93,97.33,850.64,1825.95,9.29,57.3,33.85,255.87,#N/A,305.57,207.1,1131.36,1133.26,788.84,787.87
1983.01,98,97.93,868.35,1850.02,8.65,57.1,29.65,260.33,#N/A,311.41,207.87,1186.61,1208.33,844.65,857.19
1983.02,99.13,98.9,894.71,1892.11,8.8,57.5,30.54,274.73,#N/A,313.91,213.13,1235.9,1260.8,897.11,912.37
1983.03,100.1,100.13,922.29,1929.94,9.46,58.2,31.56,264.97,#N/A,322.26,216.08,1312.61,1311.87,943.07,940.1
1983.04,101.1,101.43,948.68,1970.2,9.43,58.6,29.83,267.4,#N/A,324.88,214.86,1370.05,1358.29,991.45,980.84
1984.01,102.53,102.83,977.01,2008.71,9.69,59,30.2,270.57,#N/A,330.19,218.74,1412.42,1401.17,1026.81,1016.6
1984.02,103.5,104.1,1002.4,2043.42,10.56,59.6,30.37,274.73,#N/A,337.49,224.46,1469.13,1434.66,1078.15,1050.92
1984.03,104.4,105.4,1021.06,2063.12,11.39,59.7,29.1,278.47,#N/A,345.03,228.58,1516.14,1448.85,1109.67,1058.59
1984.04,105.3,106.47,1037.14,2080.05,9.27,59.8,27.43,279.63,#N/A,355.96,235.92,1581.48,1551.19,1164.18,1139.73
1985.01,106.27,107.63,1057.54,2100.2,8.48,60,27.05,283.97,#N/A,362.75,238.02,1657.97,1667.95,1212.39,1217.05
1985.02,107.23,108.77,1073.72,2118.7,7.92,60,27.86,289.7,#N/A,370.88,241.67,1713.94,1712.67,1256.67,1253.02
1985.03,107.9,109.73,1096.69,2151.05,7.9,60.1,27.79,294.83,#N/A,378.72,246.17,1776.51,1827.09,1297.69,1332.34
1985.04,109,111,1111.02,2167.05,8.1,60.4,29.19,301.67,#N/A,384.49,249.11,1824.32,1876.67,1335.94,1372.3
1986.01,109.57,112.2,1126.97,2187.28,7.83,60.5,17,307.6,#N/A,389.45,251.86,1936.22,2027.48,1401.74,1465.71
1986.02,109.03,113.13,1136.34,2197.13,6.92,60.6,13.92,313.87,#N/A,395.75,258.28,1991.41,2158.18,1446.19,1565.88
1986.03,109.7,114.2,1151.92,2218.15,6.21,60.8,13.86,323.5,#N/A,406.33,263.08,2055.06,2208.46,1495.96,1610.23
1986.04,110.47,115.3,1164.41,2230.05,6.27,60.9,15.38,332.8,#N/A,406.36,260.63,2119.56,2296.3,1535.91,1663.9
1987.01,111.8,116.23,1180.54,2246.59,6.22,61.1,18.23,342.13,#N/A,411.51,261.29,2205.42,2376.4,1594.38,1718.94
1987.02,113.07,117.63,1201.54,2270.81,6.65,61.4,19.36,346.73,#N/A,417.89,265.28,2251.99,2388.93,1626.24,1727.19
1987.03,114.27,118.73,1221.14,2290.51,6.84,61.7,20.39,350.97,#N/A,421.68,266.19,2301.26,2376.52,1644.28,1699.92
1987.04,115.33,120.1,1252,2329.83,6.92,61.9,18.67,354.67,#N/A,430.09,272.47,2359.76,2391.73,1676.67,1700.22
1988.01,116.23,121.27,1268.34,2341.88,6.66,62,16.71,357.13,#N/A,433.63,276.99,2429.85,2495.23,1724.39,1772.7
1988.02,117.57,122.73,1297.51,2372.65,7.16,62.2,17.28,361.8,#N/A,437.52,277.2,2487.17,2561.07,1756.23,1810.69
1988.03,119,124.1,1320.71,2386.55,7.98,62.4,15.16,367.63,#N/A,440.58,280.23,2540.46,2570.3,1773.57,1796.19
1988.04,120.3,125.6,1349.88,2418.35,8.47,62.6,14.68,369.47,#N/A,452.73,287.97,2600.81,2631.22,1812.86,1836.44
1989.01,121.67,126.93,1377.81,2442.93,9.44,62.9,18.42,371.83,#N/A,461.17,292.78,2680.22,2690.56,1850.08,1860.52
1989.02,123.63,128.3,1403.12,2461.57,9.73,62.9,20.36,371.1,#N/A,470.59,298.55,2740.14,2731.49,1881.53,1878.98
1989.03,124.6,129.53,1423.84,2479.81,9.08,63,19.25,370.4,#N/A,478.65,303.11,2792.64,2875.04,1901.31,1963.14
