dates,gdp,real_gdp,cpi,core_cpi,fedfunds,emratio,wti_oil,divisia_m3,gscpi,gov_total,gov_current,total_par,total_market,private_par,private_market
1967.01,0.00572,0.00062,0.00605,0.00786,4.82,57.00,0.003339,0.013607,#N/A,0.00593,0.013739,0.00079,0.00795,-0.01020,-0.00313
1967.02,0.01895,0.00942,0.00990,0.01067,3.99,57.10,0.016529,0.020794,#N/A,0.02794,0.011387,-0.00064,-0.01165,-0.03327,-0.04608
1967.03,0.01855,0.00751,0.01098,0.01027,3.89,57.40,0.006536,0.021695,#N/A,0.01577,0.029435,0.02499,0.01564,0.03154,0.02170
1967.04,0.03123,0.02019,0.00970,0.01241,4.17,57.50,0.000000,0.014641,#N/A,0.03197,0.036067,0.02273,0.01929,0.03008,0.02597
1968.01,0.02708,0.01657,0.00960,0.01004,4.79,57.20,0.000000,0.011763,#N/A,0.03406,0.035465,0.01152,0.01409,0.01337,0.01635
1968.02,0.01748,0.00771,0.01352,0.01378,5.98,57.70,0.000000,0.015533,#N/A,0.01893,0.013841,0.00280,0.00799,-0.01632,-0.01130
1968.03,0.01793,0.00392,0.01221,0.01467,5.95,57.50,0.000000,0.017970,#N/A,0.02301,0.021040,0.01448,0.02022,0.01417,0.02008
1968.04,0.02578,0.01553,0.01234,0.01340,5.92,57.60,0.019355,0.020885,#N/A,0.00520,-0.011209,0.00748,-0.00777,0.01904,0.00277
1969.01,0.01566,0.00303,0.01549,0.01584,6.57,57.80,0.067927,0.008337,#N/A,0.02159,0.035927,0.00232,-0.00397,-0.00176,-0.00918
1969.02,0.02056,0.00658,0.01363,0.01379,8.33,57.90,0.000000,0.001728,#N/A,0.02190,0.024322,-0.00559,-0.01581,-0.03769,-0.04939
1969.03,0.00793,-0.00489,0.01532,0.01360,8.98,58.10,0.000000,-0.001988,#N/A,0.01367,0.026284,0.01344,0.00175,0.00688,-0.00623
1969.04,0.01248,-0.00149,0.01587,0.01518,8.94,58.10,0.000000,0.005177,#N/A,0.02372,0.017402,0.01702,0.00964,0.01147,0.00230
1970.01,0.01526,0.00142,0.01381,0.01841,8.57,57.90,0.000000,-0.007168,#N/A,0.03959,0.053371,0.00374,0.01730,0.00175,0.01500
1970.02,0.01735,0.00917,0.01030,0.01298,7.89,57.60,-0.012012,0.003979,#N/A,0.02148,0.014612,0.00946,0.00587,-0.01086,-0.01620
1970.03,0.00235,-0.01077,0.01450,0.01617,6.71,57.20,0.023882,0.021945,#N/A,0.02238,0.018805,0.01878,0.03205,0.01658,0.02996
1970.04,0.04188,0.02679,0.00830,0.00953,5.57,56.90,0.048931,0.022300,#N/A,0.01212,0.023964,0.01857,0.04981,0.02016,0.05374
1971.01,0.01843,0.00539,0.00922,0.01015,3.86,56.60,0.000000,0.031705,#N/A,0.04002,0.041014,0.01120,0.02288,0.00031,0.01260
1971.02,0.01834,0.00820,0.00988,0.00865,4.57,56.50,0.000000,0.030187,#N/A,0.01045,-0.001153,0.02193,-0.00010,0.01038,-0.01182
1971.03,0.01064,0.00235,0.00734,0.00534,5.48,56.60,0.000000,0.022797,#N/A,0.01631,0.021208,0.03159,0.05137,0.03411,0.05614
1971.04,0.03331,0.01820,0.00802,0.00853,4.75,56.70,0.000000,0.023995,#N/A,0.04119,0.043588,0.01826,0.02401,0.02747,0.03404
1972.01,0.02864,0.02244,0.00651,0.00755,3.55,56.80,0.000000,0.028198,#N/A,0.01115,0.033134,0.01187,0.00982,0.01712,0.01569
1972.02,0.01893,0.00939,0.00790,0.00749,4.30,57.00,0.000000,0.021872,#N/A,0.00247,-0.027586,0.00849,0.00927,-0.01464,-0.01351
1972.03,0.02929,0.01661,0.01044,0.00541,4.74,57.00,0.000000,0.029648,#N/A,0.03485,0.092134,0.01675,0.01072,0.01704,0.01140
1972.04,0.03589,0.02445,0.01546,0.00739,5.15,57.20,0.000000,0.027663,#N/A,0.01806,-0.008303,0.02585,0.02420,0.03746,0.03624
1973.01,0.02608,0.01083,0.02070,0.01044,6.54,57.50,0.000000,0.019767,#N/A,0.02818,0.015148,0.01983,0.00789,0.01497,0.00207
1973.02,0.01402,-0.00527,0.01961,0.01011,7.82,57.80,0.131422,0.019576,#N/A,-0.00338,-0.001532,0.00289,-0.00745,-0.01943,-0.03085
1973.03,0.02917,0.00944,0.02491,0.01670,10.56,57.90,0.059755,0.011640,#N/A,0.03007,0.020696,0.00817,0.01537,-0.01140,-0.00387
1973.04,0.01006,-0.00864,0.02939,0.01558,10.00,58.20,0.852587,0.014253,#N/A,0.03195,0.030792,0.01173,0.02169,0.01590,0.02789
1974.01,0.02571,0.00238,0.02650,0.02592,9.32,58.20,0.000000,0.015036,#N/A,0.02486,0.040229,0.01062,0.01114,-0.00154,0.00244
1974.02,0.01942,-0.00950,0.02762,0.03367,11.25,58.00,0.000000,0.010994,#N/A,0.06024,0.031180,0.00564,-0.00088,-0.00656,-0.01005
1974.03,0.02509,-0.00389,0.03038,0.02890,12.09,57.80,0.098811,0.011715,#N/A,0.02762,0.042128,0.01282,0.01733,0.00775,0.01165
1974.04,0.01022,-0.01225,0.02115,0.02109,9.35,57.30,0.000000,0.011520,#N/A,0.05393,0.045181,0.01967,0.04020,0.03589,0.05617
1975.01,0.02186,0.00712,0.01191,0.01563,6.30,56.20,0.000000,0.017239,#N/A,0.03887,0.064637,0.03604,0.03987,0.05935,0.06355
1975.02,0.03449,0.01698,0.01991,0.01299,5.42,55.90,0.000000,0.030674,#N/A,0.02015,0.003806,0.04698,0.04470,0.06649,0.06474
1975.03,0.02998,0.01338,0.01826,0.01719,6.16,56.10,0.000000,0.021601,#N/A,0.02792,0.023771,0.03910,0.03546,0.06688,0.06374
1975.04,0.03274,0.02225,0.01133,0.01850,5.41,56.10,0.052368,0.016853,#N/A,0.01581,0.014727,0.03803,0.04972,0.07026,0.08143
1976.01,0.01734,0.00731,0.00890,0.01361,4.83,56.50,0.034270,0.028972,#N/A,-0.00447,0.004356,0.03887,0.04302,0.05009,0.05422
1976.02,0.01832,0.00545,0.01583,0.01619,5.20,56.90,0.046557,0.021812,#N/A,0.02074,0.029285,0.03248,0.02866,0.02780,0.02419
1976.03,0.02498,0.00720,0.01438,0.01372,5.28,57.00,0.086358,0.021802,#N/A,0.01696,0.022519,0.02659,0.03827,0.03590,0.04709
1976.04,0.02772,0.01180,0.01824,0.01639,4.87,57.00,0.000000,0.027463,#N/A,0.02383,0.009742,0.02408,0.03326,0.04350,0.05229
1977.01,0.03327,0.01923,0.01725,0.01596,4.66,57.20,0.000000,0.028837,#N/A,0.01842,0.018831,0.02603,0.01525,0.03492,0.02509
1977.02,0.02998,0.01787,0.01385,0.01425,5.16,57.80,0.044327,0.021446,#N/A,0.01749,0.032486,0.00836,0.00824,-0.00336,-0.00348
1977.03,0.02139,0.00002,0.01463,0.01341,5.82,58.00,0.021784,0.020399,#N/A,0.02911,0.030238,0.02974,0.02311,0.03956,0.03318
1977.04,0.01762,0.00320,0.01696,0.01749,6.51,58.50,0.000000,0.020756,#N/A,0.01961,0.025344,0.03173,0.02450,0.05019,0.04331
1978.01,0.05686,0.03792,0.02259,0.02029,6.76,58.80,0.000000,0.018394,#N/A,0.02741,0.021630,0.02560,0.01898,0.03417,0.02792
1978.02,0.02683,0.01001,0.02300,0.02140,7.28,59.30,0.000000,0.016934,#N/A,0.03731,0.027778,0.01659,0.00792,-0.00060,-0.00903
1978.03,0.03363,0.01335,0.02293,0.02199,8.10,59.40,0.000000,0.011647,#N/A,0.02342,0.025127,0.03131,0.02759,0.02250,0.01865
